wlo,whi,flux
# keV,keV,phot/cm^2/s/bin
   0.17712,    0.17713,   9.6832e-11
   0.17713,    0.17715,   1.2679e-10
   0.17715,    0.17716,   1.4315e-10
   0.17716,    0.17718,   1.0918e-10
   0.17718,    0.17719,   1.0287e-10
   0.17719,    0.17721,   1.2678e-10
   0.17721,    0.17722,   1.3524e-10
   0.17722,    0.17723,   3.0122e-10
   0.17723,    0.17725,   6.8538e-10
   0.17725,    0.17726,   5.6511e-10
   0.17726,    0.17728,   2.2200e-10
   0.17728,    0.17729,   1.1459e-10
   0.17729,    0.17731,   1.4481e-10
   0.17731,    0.17732,   2.8491e-10
   0.17732,    0.17733,   4.2564e-10
   0.17733,    0.17735,   3.0866e-09
   0.17735,    0.17736,   1.0840e-08
   0.17736,    0.17738,   8.8607e-09
   0.17738,    0.17739,   1.7311e-09
   0.17739,    0.17741,   3.2388e-10
   0.17741,    0.17742,   4.4734e-10
   0.17742,    0.17743,   1.5554e-09
   0.17743,    0.17745,   4.6687e-09
   0.17745,    0.17746,   4.4308e-09
   0.17746,    0.17748,   3.4565e-09
   0.17748,    0.17749,   2.5809e-09
   0.17749,    0.17751,   7.3408e-10
   0.17751,    0.17752,   1.4261e-10
   0.17752,    0.17753,   9.0589e-11
   0.17753,    0.17755,   8.9443e-11
   0.17755,    0.17756,   9.3703e-11
   0.17756,    0.17758,   1.1381e-10
   0.17758,    0.17759,   1.3723e-10
   0.17759,    0.17761,   3.2270e-10
   0.17761,    0.17762,   9.0438e-10
   0.17762,    0.17763,   3.5360e-09
   0.17763,    0.17765,   1.6592e-08
   0.17765,    0.17766,   2.4261e-08
   0.17766,    0.17768,   8.4725e-09
   0.17768,    0.17769,   7.3101e-10
   0.17769,    0.17771,   9.9547e-11
   0.17771,    0.17772,   8.9297e-11
   0.17772,    0.17773,   8.9206e-11
   0.17773,    0.17775,   8.9187e-11
   0.17775,    0.17776,   8.9178e-11
   0.17776,    0.17778,   8.9171e-11
   0.17778,    0.17779,   8.9166e-11
   0.17779,    0.17781,   8.9172e-11
   0.17781,    0.17782,   8.9712e-11
   0.17782,    0.17783,   9.5174e-11
   0.17783,    0.17785,   1.0547e-10
   0.17785,    0.17786,   1.0670e-10
   0.17786,    0.17788,   1.0324e-10
   0.17788,    0.17789,   9.6685e-11
   0.17789,    0.17791,   1.5528e-10
   0.17791,    0.17792,   6.4880e-10
   0.17792,    0.17794,   1.3606e-09
